identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.0.372.0.IE.180228210535.717078,https://www.met.ie/nationalwarnings/default.asp,2018-02-28 21:05:35+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2018-02-28 20:00:01+00:00,2018-02-28 20:00:01+00:00,2018-03-01 12:00:01+00:00,Met Eireann,"Snow-ice warning for Donegal, Monaghan, Leitrim, Mayo, Roscommon, Sligo, Clare, Kerry, Limerick and Tipperary",Update\nScattered snow showers tonight and on Thursday morning with some accumulations.,,2; yellow; Moderate,"Donegal, Monaghan, Leitrim, Mayo, Roscommon, Sligo, Clare, Kerry, Limerick and Tipperary",Donegal;Monaghan;Leitrim;Mayo;Roscommon;Sligo;Clare;Kerry,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.0.372.0.IE.170927222400.279390,www.met.ie/nationalwarnings/default.asp,2017-09-27 22:24:00+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2017-09-27 22:24:00+00:00,2017-09-28 12:00:01+00:00,2017-09-29 12:00:01+00:00,Met Eireann,"Moderate Wind warning for Donegal,Galway,Mayo,Clare,Kerry","Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.",,2; yellow; Moderate,"Donegal,Galway,Mayo,Clare,Kerry",Donegal;Galway;Mayo;Clare;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.190209172816.685129,forecasts@met.ie,2019-02-09 17:28:16+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2019-02-09 16:00:01+00:00,2019-02-10 10:00:01+00:00,2019-02-10 19:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway, Leitrim, Mayo, Sligo and Clare",Westerly winds reaching mean speeds of 55 to 65 km/h with gusts of up to 90 to 110km/h.,,2; yellow; Moderate,"Donegal, Galway, Leitrim, Mayo, Sligo and Clare",Donegal;Galway;Leitrim;Mayo;Sligo;Clare,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.171122175214.546151,www.met.ie/nationalwarnings/default.asp,2017-11-22 17:52:14+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2017-11-21 12:00:01+00:00,2017-11-22 00:01:01+00:00,2017-11-22 21:00:01+00:00,Met Eireann,Moderate Rainfall warning for Munster and Leinster,"Heavy rain expected to move up from the south overnight, clearing later Wednesday. \n30 to 40mm are expected, but larger totals are possible on high ground.",,2; yellow; Moderate,Munster and Leinster,Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.201225174857.798390,forecasts@met.ie,2020-12-25 17:48:57+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-12-25 13:31:04+00:00,2020-12-26 15:00:01+00:00,2020-12-27 04:00:01+00:00,Met Eireann,Wind warning for Ireland,"On Saturday (St Stephen's Day), through the late afternoon, evening and night, westerly winds associated with Storm Bella (named by UK Met Office) will reach mean speeds of 50 to 65km/h with gusts of 90 to 110km/h. Gusts will be higher at times near the west coast. \n\nWith the combination of strong winds, high waves and forecasted storm surge, there is a risk of coastal flooding along the west coast.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.190721061530.195001,forecasts@met.ie,2019-07-21 06:15:30+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2019-07-21 06:00:01+00:00,2019-07-21 06:00:01+00:00,2019-07-22 06:00:01+00:00,Met Eireann,"Rainfall warning for Connacht, Cavan, Monaghan, Donegal and Longford","Through today and tonight, falls of heavy rain will give high rainfall totals with reduced visibility and a risk of localised flooding.",,2; yellow; Moderate,"Connacht, Cavan, Monaghan, Donegal and Longford",Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Monaghan;Donegal;Longford,10; Rain,,Yellow,Moderate,Rain
2.49.0.0.372.0.IE.180123095717.240535,https://beta.met.ie/warnings/,2018-01-23 09:57:17+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-01-23 09:51:12+00:00,2018-01-23 21:00:01+00:00,2018-01-24 09:00:01+00:00,Met Eireann,Wind warning for Ireland,"Southwest winds are expected to reach mean speeds of between 55 and 65 km/hr, gusting to 110 km/hr at times this evening and tonight. Winds will be strongest in Western and Northwestern counties and along the Southeast coast, and may briefly exceed these values.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.171208121349.489006,www.met.ie/nationalwarnings/default.asp,2017-12-08 12:13:49+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2017-12-07 20:49:27+00:00,2017-12-07 20:00:01+00:00,2017-12-08 18:00:01+00:00,Met Eireann,Moderate Snow-ice warning for Rest of the Country,"Occasional snow showers will occur this evening, tonight and during Friday, with accumulations of up to 3 cm expected. Some icy roads and footpaths also.",,2; yellow; Moderate,Rest of the Country,,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.0.372.0.IE.180210110343.429517,https://beta.met.ie/warnings/,2018-02-10 11:03:43+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-02-09 12:00:01+00:00,2018-02-10 15:00:01+00:00,2018-02-10 20:00:01+00:00,Met Eireann,"Wind warning for Munster, Leinster and Galway",On Saturday afternoon and evening southwest to west winds will reach mean speeds of between 55 and 65 km/h with gusts up to 110 km/h possible.,,2; yellow; Moderate,"Munster, Leinster and Galway",Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Galway,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.180228105128.289592,https://www.met.ie/nationalwarnings/default.asp,2018-02-28 10:51:28+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2018-02-28 08:24:45+00:00,2018-02-28 08:00:01+00:00,2018-03-01 12:00:01+00:00,Met Eireann,"Snow-ice warning for Donegal, Galway, Clare and Limerick","Scattered heavy snow showers today, tonight, and tomorrow.",,2; yellow; Moderate,"Donegal, Galway, Clare and Limerick",Donegal;Galway;Clare,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.190312102858.211111,forecasts@met.ie,2019-03-12 10:28:58+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2019-03-11 11:00:01+00:00,2019-03-12 12:00:01+00:00,2019-03-13 12:00:01+00:00,Met Eireann,Wind warning for Ireland,Westerly winds will reach mean speeds of 50 to 65km/h and gusts of 90 to 110km. There is a risk of coastal flooding due to high seas along Atlantic coasts.,,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.180630171208.729754,forecasts@met.ie,2018-06-30 17:12:08+00:00,Actual,Alert,Public,en-GB,Met,Moderate High-Temperature warning,None,Expected,Moderate,Likely,2018-06-30 10:00:01+00:00,2018-06-30 10:00:01+00:00,2018-07-01 20:00:01+00:00,Met Eireann,High-Temperature warning for Munster and Leinster,"On Sunday, temperatures in excess of 27 degrees are expected in parts of Leinster and Munster.",,2; yellow; Moderate,Munster and Leinster,Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow,5; high-temperature,,Yellow,Moderate,High-Temperature
2.49.0.1.372.0.200229162217.144036,forecasts@met.ie,2020-02-29 16:22:17+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2020-02-29 14:51:02+00:00,2020-02-29 15:00:01+00:00,2020-02-29 23:59:01+00:00,Met Eireann,"Wind warning for Donegal, Galway, Leitrim, Mayo, Sligo and Clare",Update: Severe winds associated with Storm Jorge (Hor-Hay) will continue. Southwest winds veering westerly will reach mean speeds of 65 to 80km/h with gusts of 110km/h to 130km/h at times through the rest of the period. Winds  will gradually ease from the south through the evening as the storm centre drifts away northeastwards. There continues to be an elevated risk of coastal flooding.,,3; orange; Severe,"Donegal, Galway, Leitrim, Mayo, Sligo and Clare",Donegal;Galway;Leitrim;Mayo;Sligo;Clare,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.191204231121.511753,forecasts@met.ie,2019-12-04 23:11:21+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2019-12-04 15:00:01+00:00,2019-12-05 07:00:01+00:00,2019-12-05 18:00:01+00:00,Met Eireann,Wind warning for Donegal and Mayo,South to southwest winds will strengthen during Thursday reaching mean speeds of 50-65km/h with gusts of 90-100km/h.,,2; yellow; Moderate,Donegal and Mayo,Donegal;Mayo,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.190426043623.452783,forecasts@met.ie,2019-04-26 04:36:23+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2019-04-25 09:00:01+00:00,2019-04-26 22:00:01+00:00,2019-04-27 08:00:01+00:00,Met Eireann,"Wind warning for Connacht, Carlow, Kildare, Kilkenny, Laois, Longford, Wexford, Wicklow, Offaly, Donegal, Tipperary and Waterford",Becoming very windy on Friday night and for a time on Saturday morning. Southerly winds will veer northwesterly and reach mean speeds of 50-65km/h with gusts of 90 to 110 km/h.,,2; yellow; Moderate,"Connacht, Carlow, Kildare, Kilkenny, Laois, Longford, Wexford, Wicklow, Offaly, Donegal, Tipperary and Waterford",Galway;Leitrim;Mayo;Roscommon;Sligo;Carlow;Kildare;Kilkenny;Laois;Longford;Wexford;Wicklow;Offaly;Donegal,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.180211224845.027556,https://beta.met.ie/warnings/,2018-02-11 22:48:45+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2018-02-11 19:00:00+00:00,2018-02-12 17:00:00+00:00,2018-02-13 06:00:00+00:00,Met Eireann,Advisory warning for Ireland,"A spell of wet and windy weather, with a risk of thundery downpours, will sweep eastwards over the country during Monday evening and night. Gusts between 90 and 110km/h are likely to occur in Atlantic, southern and later eastern coastal fringes for a time. Additional accumulations of snow are likely during the period also, mainly in parts of west Ulster and north Connacht.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.190426143057.535106,forecasts@met.ie,2019-04-26 14:30:57+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2019-04-26 03:00:01+00:00,2019-04-26 21:00:01+00:00,2019-04-27 01:00:01+00:00,Met Eireann,Wind warning for Tipperary and Waterford,In addition to the yellow wind alert for these counties: Southwest winds veering northwest will reach mean speed of 65 to 80km/h and gusts of 110 to 120km/h for a time tonight.,,3; orange; Severe,Tipperary and Waterford,,1; Wind,,Orange,Severe,Wind
2.49.0.0.372.0.IE.180123225425.373357,https://beta.met.ie/warnings/,2018-01-23 22:54:25+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-01-23 09:51:12+00:00,2018-01-23 21:00:01+00:00,2018-01-24 09:00:01+00:00,Met Eireann,Wind warning for Ireland,"Southwest winds are expected to reach mean speeds of between 55 and 65 km/hr, gusting to 110 km/hr at times this evening and tonight. Winds will be strongest in Western and Northwestern counties and along the Southeast coast, and may briefly exceed these values.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.180130165254.016340,https://beta.met.ie/warnings/,2018-01-30 16:52:54+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-01-30 16:00:01+00:00,2018-01-31 06:00:01+00:00,2018-01-31 23:59:01+00:00,Met Eireann,"Wind warning for Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry and Limerick",Westerly winds veering Northwest will reach at times 55-60 km/hr near coastal fringes.,,2; yellow; Moderate,"Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Cork, Kerry and Limerick",Donegal;Galway;Leitrim;Mayo;Sligo;Clare;Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.180223234409.537796,https://www.met.ie/nationalwarnings/default.asp,2018-02-23 23:44:09+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2018-02-23 12:00:00+00:00,2018-02-23 12:07:00+00:00,2018-03-02 12:00:00+00:00,Met Eireann,Advisory warning for Ireland,"Exceptionally cold weather is forecast for next week with significant wind chill and severe frosts. Disruptive snow showers are expected from Tuesday onwards, particularly in the east and southeast.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.191003211736.886995,forecasts@met.ie,2019-10-03 21:17:36+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2019-10-03 06:14:32+00:00,2019-10-03 08:00:01+00:00,2019-10-04 05:00:01+00:00,Met Eireann,"Rainfall warning for Connacht, Leinster, Cavan, Monaghan and Donegal",Spells of heavy rain at times today and tonight will result in some flooding.,,2; yellow; Moderate,"Connacht, Leinster, Cavan, Monaghan and Donegal",Galway;Leitrim;Mayo;Roscommon;Sligo;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Cavan;Monaghan;Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.201022120015.285220,forecasts@met.ie,2020-10-22 12:00:15+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-10-22 11:00:01+00:00,2020-10-23 21:00:01+00:00,2020-10-24 06:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway, Mayo, Clare and Kerry",South to southwest winds will reach mean speeds of 50 to 65 km/h with gusts of 90 to 110 km/h. Winds speeds may be higher in coastal and exposed areas.,,2; yellow; Moderate,"Donegal, Galway, Mayo, Clare and Kerry",Donegal;Galway;Mayo;Clare;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.191214171006.306541,forecasts@met.ie,2019-12-14 17:10:06+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2019-12-14 10:00:01+00:00,2019-12-14 11:00:01+00:00,2019-12-15 11:00:01+00:00,Met Eireann,Snow/Ice warning for Ireland,"Wintry showers of hail, sleet and snow with localized accumulations, especially on high ground, and icy stretches on roads and footpaths.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.191117120920.666340,forecasts@met.ie,2019-11-17 12:09:20+00:00,Actual,Alert,Public,en-GB,Met,Moderate Low-Temperature warning,None,Expected,Moderate,Likely,2019-11-17 11:00:01+00:00,2019-11-17 20:00:01+00:00,2019-11-18 09:00:01+00:00,Met Eireann,"Low-Temperature warning for Connacht,Cavan,Monaghan,Donegal,Carlow,Kildare,Kilkenny,Laois,Longford,Louth,Offaly,Westmeath,Meath,Clare,Cork,Kerry,Limerick,Tipperary",\nVery cold tonight.  Minimum air temperatures will range -2 to -4 degrees Celsius.  Widespread severe frost with the risk of icy patches.,,2; yellow; Moderate,"Connacht,Cavan,Monaghan,Donegal,Carlow,Kildare,Kilkenny,Laois,Longford,Louth,Offaly,Westmeath,Meath,Clare,Cork,Kerry,Limerick,Tipperary",Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Monaghan;Donegal;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Offaly;Westmeath;Meath;Clare;Cork;Kerry,6; low-temperature,,Yellow,Moderate,Low-Temperature
2.49.0.1.372.0.200111153854.379688,forecasts@met.ie,2020-01-11 15:38:54+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2020-01-11 15:00:01+00:00,2020-01-13 07:00:01+00:00,2020-01-13 15:00:01+00:00,Met Eireann,"Wind warning for Wexford, Clare, Cork, Kerry, Limerick and Waterford","As Storm Brendan tracks to the northwest of Ireland, southerly winds will reach mean speeds of 65 to 80 km/h with gusts of 110 to 130 km/h, highest in coastal areas. \n\nThere is a significant risk of coastal flooding due to the combination of high spring tides and storm surge.",,3; orange; Severe,"Wexford, Clare, Cork, Kerry, Limerick and Waterford",Wexford;Clare;Cork;Kerry,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.180713123602.453822,forecasts@met.ie,2018-07-13 12:36:02+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2018-07-13 12:00:00+00:00,2018-07-13 12:05:00+00:00,2018-07-18 14:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Update to drought advisory\nThere will be small rainfall amounts at times over the coming days. However, there will be no significant reduction in soil moisture deficits as evapotranspiration rates will remain high.\n Next Update Wednesday 19-07-2018",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.190623044038.329684,forecasts@met.ie,2019-06-23 04:40:38+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2019-06-22 16:00:01+00:00,2019-06-23 05:00:01+00:00,2019-06-23 17:00:01+00:00,Met Eireann,Rainfall warning for Cork and Waterford,"Outbreaks of heavy rain during Sunday will lead to rainfall accumulations of 25 to 40mm, with the highest values in coastal areas.",,2; yellow; Moderate,Cork and Waterford,Cork,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.201031051255.822085,forecasts@met.ie,2020-10-31 05:12:55+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2020-10-30 10:00:01+00:00,2020-10-31 05:00:01+00:00,2020-10-31 10:00:01+00:00,Met Eireann,"Wind warning for Carlow, Kilkenny, Wexford, Wicklow, Cork, Kerry and Waterford","On Saturday morning strong southerly winds veering southwesterly associated with Storm Aiden will reach mean speeds of 65 to 80km/h, with severe and damaging gusts of 100 to 130km/h.",,3; orange; Severe,"Carlow, Kilkenny, Wexford, Wicklow, Cork, Kerry and Waterford",Carlow;Kilkenny;Wexford;Wicklow;Cork;Kerry,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.191206195328.232347,forecasts@met.ie,2019-12-06 19:53:28+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2019-12-06 19:00:01+00:00,2019-12-07 19:00:01+00:00,2019-12-08 12:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Kerry and Limerick",West to southwest winds will reach mean speeds of 50 to 65km/h with gusts of 90 to 110km/h at times during the period.,,2; yellow; Moderate,"Donegal, Galway, Leitrim, Mayo, Sligo, Clare, Kerry and Limerick",Donegal;Galway;Leitrim;Mayo;Sligo;Clare;Kerry,1; Wind,,Yellow,Moderate,Wind
