identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.220220085443.079141,forecasts@met.ie,2022-02-20 08:54:43+00:00,Actual,Alert,Public,en-GB,Met,Severe  warning,None,Expected,Severe,Likely,2022-02-20 08:53:13+00:00,2022-02-20 08:52:50+00:00,2022-02-21 09:00:00+00:00,Met Eireann, warning for ,,,3; orange; Severe,,NaN,,,Orange,Severe,nan
2.49.0.1.372.0.230804104939.N_Norm006_Weather,forecasts@met.ie,2023-08-04 10:49:39+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Future,Moderate,Likely,2023-08-04 10:49:39+00:00,2023-08-04 17:00:00+00:00,2023-08-05 12:00:00+00:00,Met Éireann,"Rain warning for Dublin, Kildare, Laois, Longford, Louth, Meath, Offaly, Westmeath, Wicklow, Monaghan","Spells of heavy rain from Friday evening to Saturday afternoon.

Possible impacts:

Spot flooding,
Poor visibility,
Difficult travelling conditions",,2; yellow; Moderate,"Dublin, Kildare, Laois, Longford, Louth, Meath, Offaly, Westmeath, Wicklow, Monaghan",Kildare;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wicklow;Monaghan,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.211030174259.N_Norm011_Weather,forecasts@met.ie,2021-10-30 17:42:59+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Future,Moderate,Likely,2021-10-30 17:42:59+00:00,2021-10-31 06:00:00+00:00,2021-10-31 12:00:00+00:00,Met Éireann,"Wind warning for Clare, Cork, Kerry",West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,,2; yellow; Moderate,"Clare, Cork, Kerry",Clare;Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.211212052446.N_Norm006_Weather,forecasts@met.ie,2021-12-12 05:24:46+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Future,Moderate,Likely,2021-12-12 05:24:46+00:00,2021-12-12 15:00:00+00:00,2021-12-12 20:00:00+00:00,Met Éireann,"Wind warning for Clare, Kerry",Southerly winds veering westerly will reach mean speeds of 50 to 65km/h with gusts of 90 to 100km/h. Some fallen trees and power outages are possible.  ,,2; yellow; Moderate,"Clare, Kerry",Clare;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.211031091912.525675,forecasts@met.ie,2021-10-31 09:19:12+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-10-31 09:18:04+00:00,2021-10-31 09:17:53+00:00,2021-10-31 22:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.211126132523.N_Norm005_Weather,forecasts@met.ie,2021-11-26 13:25:23+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Immediate,Moderate,Likely,2021-11-26 13:25:23+00:00,2021-11-26 13:25:09+00:00,2021-11-27 06:00:00+00:00,Met Éireann,Wind warning for Donegal,"Through Friday afternoon, evening and night, northerly winds will reach mean speed of 45 to 65 km/h with gusts of 90 to 110 km/h with significantly higher gusts at times along north facing coasts and on the Inishowen Peninsula. 

Possible wave and spray overtopping along north facing coasts at times of High tide on Friday night.
",,2; yellow; Moderate,Donegal,Donegal,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.230613133936.N_Norm009_Weather,forecasts@met.ie,2023-06-13 13:39:36+00:00,Actual,Alert,Public,en-GB,Met,Yellow Thunderstorm,Monitor,Immediate,Moderate,Likely,2023-06-13 13:39:36+00:00,2023-06-13 13:39:19+00:00,2023-06-13 20:00:00+00:00,Met Éireann,"Thunderstorm warning for Cavan, Donegal, Clare, Kerry, Limerick, Tipperary, Connacht, Kildare, Laois, Longford, Meath, Offaly, Westmeath","Localised slow-moving showers with heavy downpours, thunderstorms and the chance of hail.

Possible impacts:

•  Localised spot flooding
•  Difficult travel conditions

 
",,2; yellow; Moderate,"Cavan, Donegal, Clare, Kerry, Limerick, Tipperary, Connacht, Kildare, Laois, Longford, Meath, Offaly, Westmeath",Cavan;Donegal;Clare;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway;Kildare;Laois;Longford;Meath;Offaly;Westmeath,3; Thunderstorm,,Yellow,Moderate,Thunderstorm
2.49.0.1.372.0.211023164224.N_Norm002_Weather,forecasts@met.ie,2021-10-23 16:42:24+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2021-10-23 16:42:24+00:00,2021-10-23 16:42:13+00:00,2021-10-23 23:00:00+00:00,Met Éireann,Rain warning for Cork and Kerry,A spell of heavy rain on Saturday afternoon and evening may lead to localised flooding. ,,2; yellow; Moderate,"Cork, Kerry",Cork;Kerry,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.230308061615.N_Norm012_Weather,forecasts@met.ie,2023-03-08 06:16:15+00:00,Actual,Alert,Public,en-GB,Met,Yellow Snow/Ice,Monitor,Future,Moderate,Likely,2023-03-08 06:16:15+00:00,2023-03-09 06:00:00+00:00,2023-03-10 00:00:00+00:00,Met Éireann,"Snow/Ice warning for Cavan, Donegal, Monaghan, Connacht, Longford, Louth, Meath, Westmeath","A spell of rain will move up over the country on Thursday morning, turning to sleet and snow with some accumulations expected. 
Possible Impacts:
● Hazardous driving conditions
● Travel disruption",,2; yellow; Moderate,"Cavan, Donegal, Monaghan, Connacht, Longford, Louth, Meath, Westmeath",Cavan;Monaghan;Donegal;Sligo;Roscommon;Leitrim;Mayo;Galway;Longford;Louth;Meath;Westmeath,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.211006183122.N_Norm005_Weather,forecasts@met.ie,2021-10-06 18:31:22+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Future,Moderate,Likely,2021-10-06 18:31:22+00:00,2021-10-06 23:00:00+00:00,2021-10-09 02:00:00+00:00,Met Éireann,"Rain warning for Donegal, Galway, Leitrim, Mayo, Sligo","Prolonged rain with heavier bursts at times, heaviest and most persistent later on Friday. Significant accumulations are possible in upland areas. Risk of localised flooding. ",,2; yellow; Moderate,"Donegal, Galway, Leitrim, Mayo, Sligo",Donegal;Galway;Leitrim;Mayo;Sligo,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.210728221920.N_Norm002_Weather,forecasts@met.ie,2021-07-28 22:19:20+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2021-07-28 22:19:20+00:00,2021-07-28 22:18:35+00:00,2021-07-29 06:00:00+00:00,Met Éireann,Rain warning for Donegal,"Further rain in Donegal overnight, becoming heavy at times, maintaining a risk of some local flooding.",,2; yellow; Moderate,Donegal,Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.230113140442.N_Norm004_Weather,forecasts@met.ie,2023-01-13 14:04:42+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Future,Moderate,Likely,2023-01-13 14:04:42+00:00,2023-01-14 12:00:00+00:00,2023-01-14 22:00:00+00:00,Met Éireann,Wind warning for Donegal,"Westerly winds will be very strong and gusty, especially near coasts and on high ground.",,2; yellow; Moderate,Donegal,Donegal,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.210603162733.N_Norm009_Weather,forecasts@met.ie,2021-06-03 16:27:33+00:00,Actual,Alert,Public,en-GB,Met,Yellow Thunderstorm,Monitor,Immediate,Moderate,Likely,2021-06-03 16:27:33+00:00,2021-06-03 16:27:18+00:00,2021-06-03 17:00:00+00:00,Met Éireann,"Thunderstorm warning for Clare, Limerick, Galway and Mayo",Scattered thunderstorms bringing heavy downpours this afternoon. Risk of spot flooding.,,2; yellow; Moderate,"Clare, Limerick, Galway, Mayo",Clare;Galway;Mayo,3; Thunderstorm,,Yellow,Moderate,Thunderstorm
2.49.0.1.372.0.230804161257.762081,forecasts@met.ie,2023-08-04 16:12:57+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-08-04 17:10:47+00:00,2023-08-04 20:00:00+00:00,2023-08-05 12:00:00+00:00,Met Eireann, warning for ,Cyclonic variable winds veering northwest,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.210128165322.744176,forecasts@met.ie,2021-01-28 16:53:22+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2021-01-28 11:00:01+00:00,2021-01-28 20:00:01+00:00,2021-01-29 06:00:01+00:00,Met Eireann,Wind warning for Cork and Kerry,Westerly winds will increase 50 to 65 km/hr with gusts to around 100 km/hr.,,2; yellow; Moderate,Cork and Kerry,Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.210726153534.142863,forecasts@met.ie,2021-07-26 15:35:34+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-07-26 11:14:48+00:00,2021-07-26 12:00:00+00:00,2021-07-27 05:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.220312051726.522060,forecasts@met.ie,2022-03-12 05:17:26+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-03-12 05:16:22+00:00,2022-03-12 15:00:00+00:00,2022-03-13 09:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.220112224931.058458,forecasts@met.ie,2022-01-12 22:49:31+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-01-12 22:47:05+00:00,2022-01-12 22:46:46+00:00,2022-01-13 12:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.210908162843.035819,forecasts@met.ie,2021-09-08 16:28:43+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-09-08 17:27:31+00:00,2021-09-08 17:26:57+00:00,2021-09-09 12:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.230709080002.N_Norm012_Weather,forecasts@met.ie,2023-07-09 08:00:02+00:00,Actual,Alert,Public,en-GB,Met,Yellow Thunderstorm,Monitor,Immediate,Moderate,Likely,2023-07-09 08:00:02+00:00,2023-07-09 07:59:55+00:00,2023-07-09 11:00:00+00:00,Met Éireann,"Thunderstorm warning for Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow, Galway, Roscommon","Moderate chance of thunderstorms.

Possible impacts:

Spot flooding
Poor visibility
Difficult travelling conditions.",,2; yellow; Moderate,"Galway, Roscommon, Kildare, Laois, Longford, Meath, Offaly, Westmeath, Wicklow",Galway;Roscommon;Kildare;Laois;Longford;Meath;Offaly;Westmeath;Wicklow,3; Thunderstorm,,Yellow,Moderate,Thunderstorm
2.49.0.1.372.0.211227115510.110700,forecasts@met.ie,2021-12-27 11:55:10+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-12-27 11:54:15+00:00,2021-12-27 11:53:52+00:00,2021-12-27 12:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.220625110227.N_Norm002_Weather,forecasts@met.ie,2022-06-25 11:02:27+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2022-06-25 11:02:27+00:00,2022-06-25 11:02:20+00:00,2022-06-25 17:00:00+00:00,Met Éireann,"Rain warning for Galway, Mayo",Further heavy showers or longer spells of rain today may lead to spot flooding in places.,,2; yellow; Moderate,"Galway, Mayo",Galway;Mayo,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.230115151620.355282,forecasts@met.ie,2023-01-15 15:16:20+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-01-15 15:16:00+00:00,2023-01-15 18:00:00+00:00,2023-01-16 12:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.230714220200.754438,forecasts@met.ie,2023-07-14 22:02:00+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-07-14 23:01:24+00:00,2023-07-14 23:01:20+00:00,2023-07-15 21:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.210516083226.358560,forecasts@met.ie,2021-05-16 08:32:26+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-05-16 09:31:08+00:00,2021-05-16 11:00:00+00:00,2021-05-16 21:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.230117115324.N_Norm011_Weather,forecasts@met.ie,2023-01-17 11:53:24+00:00,Actual,Alert,Public,en-GB,Met,Yellow Snow/Ice,Monitor,Future,Moderate,Likely,2023-01-17 11:53:24+00:00,2023-01-17 17:30:00+00:00,2023-01-18 09:00:00+00:00,Met Éireann,"Snow/Ice warning for Cavan, Monaghan, Cork, Kerry, Longford, Louth, Meath, Offaly, Westmeath, Mayo, Roscommon",Scattered snow showers with some possible accumulations. Icy stretches too. ,,2; yellow; Moderate,"Cavan, Monaghan, Cork, Kerry, Longford, Louth, Meath, Offaly, Westmeath, Mayo, Roscommon",Cavan;Monaghan;Cork;Kerry;Longford;Louth;Meath;Offaly;Westmeath;Mayo;Roscommon,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.211231170546.483270,forecasts@met.ie,2021-12-31 17:05:46+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-12-31 17:03:30+00:00,2021-12-31 20:00:00+00:00,2022-01-01 09:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.220203180618.526427,forecasts@met.ie,2022-02-03 18:06:18+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-02-03 18:04:46+00:00,2022-02-04 03:00:00+00:00,2022-02-04 10:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.230310072906.N_Norm006_Weather,forecasts@met.ie,2023-03-10 07:29:06+00:00,Actual,Alert,Public,en-GB,Met,Yellow Snow/Ice,Monitor,Immediate,Moderate,Likely,2023-03-10 07:29:06+00:00,2023-03-10 07:28:55+00:00,2023-03-10 12:00:00+00:00,Met Éireann,Ice warning for Ireland,"Cold this morning with a widespread frost and icy surfaces in places, leading to hazardous travel conditions.",,2; yellow; Moderate,Ireland,Wexford;Meath;Wicklow;Offaly;Louth;Longford;Carlow;Laois;Westmeath;Kilkenny;Kildare;Cavan;Monaghan;Donegal;Clare;Cork;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.220209140209.557836,forecasts@met.ie,2022-02-09 14:02:09+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-02-09 13:58:10+00:00,2022-02-09 17:00:00+00:00,2022-02-10 11:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.210726153447.N_Norm019_Advisory,forecasts@met.ie,2021-07-26 15:34:47+00:00,Actual,Alert,Public,en-GB,Met,Advisory,Monitor,Immediate,Moderate,Possible,2021-07-26 15:34:47+00:00,2021-07-26 15:34:39+00:00,2021-07-29 04:00:00+00:00,Met Éireann,Advisory for heavy thundery showers for Ireland,A cold front crossing the country on Monday afternoon will bring widespread heavy and possibly thundery showers. Downpours will result in hazardous driving conditions and may lead to spot flooding. Areas especially at risk are Leinster and east Munster Monday evening and night. Heavy showers and thunderstorms will become widespread again during Wednesday.  ,,2; yellow; Moderate,Ireland,Wexford;Meath;Wicklow;Offaly;Louth;Longford;Carlow;Laois;Westmeath;Kilkenny;Kildare;Cavan;Monaghan;Donegal;Clare;Cork;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.230713162258.N_Norm004_Weather,forecasts@met.ie,2023-07-13 16:22:58+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Future,Moderate,Likely,2023-07-13 16:22:58+00:00,2023-07-14 01:00:00+00:00,2023-07-14 18:00:00+00:00,Met Éireann,"Rain warning for Leinster, Cavan, Monaghan, Munster, Connacht","Spells of heavy rain on Friday
Blustery at times also, especially on south and east coasts. 

Possible impacts:
Localised flooding
Poor visibility
Difficult travelling conditions
",,2; yellow; Moderate,"Leinster, Cavan, Monaghan, Munster, Connacht",Wexford;Meath;Wicklow;Offaly;Louth;Longford;Carlow;Laois;Westmeath;Kilkenny;Kildare;Cavan;Monaghan;Clare;Cork;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.230117231617.N_Norm007_Weather,forecasts@met.ie,2023-01-17 23:16:17+00:00,Actual,Alert,Public,en-GB,Met,Yellow Snow/Ice,Monitor,Immediate,Moderate,Likely,2023-01-17 23:16:17+00:00,2023-01-17 23:16:05+00:00,2023-01-18 09:00:00+00:00,Met Éireann,"Snow/Ice warning for Cavan, Monaghan, Clare, Cork, Kerry, Limerick, Galway, Mayo, Roscommon, Longford, Louth, Meath, Offaly, Westmeath",Scattered sleet and snow showers with some accumulations possible. Icy stretches likely. ,,2; yellow; Moderate,"Cavan, Monaghan, Clare, Cork, Kerry, Limerick, Galway, Mayo, Roscommon, Longford, Louth, Meath, Offaly, Westmeath",Cavan;Monaghan;Clare;Cork;Kerry;Galway;Mayo;Roscommon;Longford;Louth;Meath;Offaly;Westmeath,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.211125050003.212078,forecasts@met.ie,2021-11-25 05:00:03+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-11-25 04:58:45+00:00,2021-11-26 15:00:00+00:00,2021-11-27 06:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.220903113104.382620,forecasts@met.ie,2022-09-03 11:31:04+00:00,Actual,Alert,Public,en-GB,Met,Severe  warning,None,Expected,Severe,Likely,2022-09-03 12:30:04+00:00,2022-09-04 01:00:00+00:00,2022-09-04 10:00:00+00:00,Met Eireann, warning for ,,,3; orange; Severe,,NaN,,,Orange,Severe,nan
2.49.0.1.372.0.211205134420.006208,forecasts@met.ie,2021-12-05 13:44:20+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-12-05 13:25:01+00:00,2021-12-07 06:00:00+00:00,2021-12-08 06:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.230313173733.657651,forecasts@met.ie,2023-03-13 17:37:33+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-03-13 17:36:46+00:00,2023-03-13 20:00:00+00:00,2023-03-14 12:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,NaN,,,Yellow,Moderate,nan
2.49.0.1.372.0.210703153937.N_Norm009_Weather,forecasts@met.ie,2021-07-03 15:39:37+00:00,Actual,Alert,Public,en-GB,Met,Yellow Thunderstorm,Monitor,Immediate,Moderate,Likely,2021-07-03 15:39:37+00:00,2021-07-03 15:39:29+00:00,2021-07-03 21:00:00+00:00,Met Éireann,"Thunderstorm warning for Cavan, Clare, Limerick, Tipperary, Galway, Leitrim, Roscommon, Kildare, Kilkenny, Laois, Longford, Meath, Offaly, Westmeath","Risk of scattered thunderstorms this afternoon and evening, with risk of hail and spot flooding.",,2; yellow; Moderate,"Cavan, Clare, Limerick, Tipperary, Galway, Leitrim, Roscommon, Kildare, Kilkenny, Laois, Longford, Meath, Offaly, Westmeath",Cavan;Clare;Galway;Leitrim;Roscommon;Kildare;Kilkenny;Laois;Longford;Meath;Offaly;Westmeath,3; Thunderstorm,,Yellow,Moderate,Thunderstorm
2.49.0.1.372.0.211225171414.N_Norm002_Weather,forecasts@met.ie,2021-12-25 17:14:14+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2021-12-25 17:14:14+00:00,2021-12-25 17:13:51+00:00,2021-12-25 20:00:00+00:00,Met Éireann,"Rain warning for Carlow, Kilkenny, Wexford, Wicklow, Waterford",Persistent rain on Christmas Day will give totals of 30 to 50 mm. This may lead to localised flooding.,,2; yellow; Moderate,"Carlow, Kilkenny, Wexford, Wicklow, Waterford",Carlow;Kilkenny;Wexford;Wicklow,10; Rain,,Yellow,Moderate,Rain
