identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.201019073034.022546,forecasts@met.ie,2020-10-19 07:30:34+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2020-10-18 10:00:01+00:00,2020-10-18 23:01:01+00:00,2020-10-20 18:00:01+00:00,Met Eireann,Rainfall warning for Ireland,"Persistent and occasionally heavy bands of rain will cross the country beginning on Sunday night through to Tuesday evening. While some areas will remain below warning levels, there is a risk of localized spot flooding with a heightened risk of flash flooding in mountainous regions where accumulations are expected to be highest. \nThis warning will be reviewed and may be elevated in further updates to reflect the evolving situation.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.181010104411.030301,forecasts@met.ie,2018-10-10 10:44:11+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2018-10-10 09:00:01+00:00,2018-10-11 21:00:01+00:00,2018-10-12 08:00:01+00:00,Met Eireann,"Wind warning for Dublin, Louth, Wexford, Wicklow, Meath, Cork and Waterford","Strong southeast, veering southwest, winds associated with Storm Callum, coinciding with high spring tides will affect Ireland on Thursday night and Friday morning. \n\nWinds will be strongest overnight and early on Friday, gusting between 110 and 130 km/h at coasts.",,3; orange; Severe,"Dublin, Louth, Wexford, Wicklow, Meath, Cork and Waterford",Louth;Wexford;Wicklow;Meath;Cork,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.201031214556.078521,forecasts@met.ie,2020-10-31 21:45:56+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2020-10-31 19:00:01+00:00,2020-11-01 09:00:01+00:00,2020-11-01 23:59:01+00:00,Met Eireann,Rainfall warning for Cork and Kerry,"A spell of rain on Sunday will bring accumulations of 25 to 40mm, highest totals in mountainous regions. Some localised flooding is possible.",,2; yellow; Moderate,Cork and Kerry,Cork;Kerry,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200109124321.644435,forecasts@met.ie,2020-01-09 12:43:21+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2020-01-09 12:00:01+00:00,2020-01-10 15:00:01+00:00,2020-01-11 15:00:01+00:00,Met Eireann,"Rainfall warning for Donegal, Galway, Mayo and Sligo","Heavy rain with accumulations of 40-50mm over the period with localised flooding. At the coast, high seas and strong to gale force southerly winds will combine to give a risk of coastal flooding.",,2; yellow; Moderate,"Donegal, Galway, Mayo and Sligo",Donegal;Galway;Mayo;Sligo,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200229145625.485420,forecasts@met.ie,2020-02-29 14:56:25+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-02-28 16:00:01+00:00,2020-02-29 19:00:01+00:00,2020-02-29 23:59:01+00:00,Met Eireann,"Wind warning for Leinster, Cavan, Monaghan, Roscommon, Cork, Limerick, Tipperary and Waterford",Strong winds associated with Storm Jorge (Hor-hay) on Saturday.\nWesterly winds of mean speeds 50 to 65km/h on Saturday evening and early Saturday night with gusts of 90 to 110km/h expected.,,2; yellow; Moderate,"Leinster, Cavan, Monaghan, Roscommon, Cork, Limerick, Tipperary and Waterford",Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Cavan;Monaghan;Roscommon;Cork,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.181207095957.064232,forecasts@met.ie,2018-12-07 09:59:57+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-12-07 08:20:27+00:00,2018-12-07 08:00:01+00:00,2018-12-07 12:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway and Mayo","Update: Southwest winds will reach mean wind speeds between 55 to 65km/h with gusts of 90 to 110km/h during the period, strongest near coasts.",,2; yellow; Moderate,"Donegal, Galway and Mayo",Donegal;Galway;Mayo,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.171229112445.621210,https://beta.met.ie/warnings/,2017-12-29 11:24:45+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2017-12-29 09:00:01+00:00,2017-12-30 21:00:01+00:00,2017-12-31 06:00:01+00:00,Met Eireann,"Wind warning for Munster, Dublin, Carlow, Kildare, Kilkenny, Wexford, Wicklow and Offaly",Southwest winds from Storm Dylan will reach mean speeds of 50 to 65km/h with gusts up to 100 km/h on Saturday night /early Sunday morning.,,2; yellow; Moderate,"Munster, Dublin, Carlow, Kildare, Kilkenny, Wexford, Wicklow and Offaly",Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Wexford;Wicklow;Offaly,1; Wind,,Yellow,Moderate,Wind
2.49.0.0.372.0.IE.180212141309.866036,https://beta.met.ie/warnings/,2018-02-12 14:13:09+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2018-02-12 14:00:01+00:00,2018-02-13 03:00:01+00:00,2018-02-13 10:00:01+00:00,Met Eireann,Snow-ice warning for Ireland,"Air temperatures will fall to freezing or below later tonight and early tomorrow morning, with widespread frost and ice on untreated surfaces. Scattered wintry showers also, these mainly in west Ulster, Connacht and west Munster.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.200214174315.745569,forecasts@met.ie,2020-02-14 17:43:15+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2020-02-14 15:00:00+00:00,2020-02-15 02:00:00+00:00,2020-02-17 12:00:00+00:00,Met Eireann,Weather Advisory for Ireland,Storm Dennis will bring wet and very windy weather this weekend and into Monday. There is a risk of flooding and damaging gusts.\n\nWarnings for Saturday 15th February have been issued. \n\nFurther warnings for Sunday 16th February will be issued on the morning of Saturday 15th February.,,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.0.372.0.IE.180312131956.364142,https://www.met.ie/nationalwarnings/default.asp,2018-03-12 13:19:56+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2018-03-12 13:00:00+00:00,2018-03-14 00:02:00+00:00,2018-03-14 23:59:00+00:00,Met Eireann,Advisory warning for Munster and Leinster,Very wet and windy weather is expected to affect mainly Munster and south Leinster during Wednesday.,,2; yellow; Moderate,Munster and Leinster,Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.0.372.0.IE.180209120757.259147,https://beta.met.ie/warnings/,2018-02-09 12:07:57+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2018-02-09 05:00:01+00:00,2018-02-09 05:00:01+00:00,2018-02-09 12:00:01+00:00,Met Eireann,Snow-ice warning for Ireland,"Update\nThis morning, scattered snow showers may lead to accumulations of up to 3 cm. Showers most frequent in the west and north.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.200614194943.360065,forecasts@met.ie,2020-06-14 19:49:43+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2020-06-14 18:00:00+00:00,2020-06-15 05:00:00+00:00,2020-06-15 22:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Thunderstorm/lightning activity will develop on Monday especially in parts of the midlands, west and north.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.200118234122.274439,forecasts@met.ie,2020-01-18 23:41:22+00:00,Actual,Alert,Public,en-GB,Met,Moderate Low-Temperature warning,None,Expected,Moderate,Likely,2020-01-18 21:25:39+00:00,2020-01-18 21:00:01+00:00,2020-01-19 11:00:01+00:00,Met Eireann,Low Temperature/Ice warning for Ireland,Temperatures will fall to minus 3 or minus 4 degrees in many areas overnight and staying below freezing until mid- to late morning on Sunday.,,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,6; low-temperature,,Yellow,Moderate,Low-Temperature
2.49.0.1.372.0.190929124512.199797,forecasts@met.ie,2019-09-29 12:45:12+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2019-09-29 12:00:01+00:00,2019-09-30 08:00:01+00:00,2019-09-30 19:00:01+00:00,Met Eireann,"Rainfall warning for Dublin, Carlow, Kildare, Kilkenny, Wexford, Wicklow, Tipperary and Waterford","25 to 35 mm Rainfall on Monday, with a risk of spot flooding",,2; yellow; Moderate,"Dublin, Carlow, Kildare, Kilkenny, Wexford, Wicklow, Tipperary and Waterford",Carlow;Kildare;Kilkenny;Wexford;Wicklow,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.180728053300.204352,forecasts@met.ie,2018-07-28 05:33:00+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2018-07-25 14:00:00+00:00,2018-07-25 14:00:00+00:00,2018-08-01 14:00:00+00:00,Met Eireann,Weather Advisory for Munster and Leinster,Soil moisture deficits will remain in excess of 70mm in many parts of Leinster and Munster. Next update Wednesday 1st August.,,2; yellow; Moderate,Munster and Leinster,Clare;Cork;Kerry;Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.190302052645.607287,forecasts@met.ie,2019-03-02 05:26:45+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2019-03-01 19:00:01+00:00,2019-03-02 08:00:01+00:00,2019-03-03 03:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway and Mayo","South to southwest winds will reach mean speeds between 50 and 65 km/h at times, with gusts between 90 and 100km/h. Winds will be strongest along coasts.",,2; yellow; Moderate,"Donegal, Galway and Mayo",Donegal;Galway;Mayo,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.191121062446.244059,forecasts@met.ie,2019-11-21 06:24:46+00:00,Actual,Alert,Public,en-GB,Met,Severe Rainfall warning,None,Expected,Severe,Likely,2019-11-20 09:00:01+00:00,2019-11-20 15:00:01+00:00,2019-11-21 18:00:01+00:00,Met Eireann,Rainfall warning for Tipperary and Waterford,Heavy rain during the period will cause spot flooding. Accumulations in excess of 50mm possible in some parts.,,3; orange; Severe,Tipperary and Waterford,,10; Rain,,Orange,Severe,Rain
2.49.0.0.372.0.IE.180303153544.289314,https://www.met.ie/nationalwarnings/default.asp,2018-03-03 15:35:44+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2018-03-03 15:00:01+00:00,2018-03-03 15:00:01+00:00,2018-03-04 12:00:01+00:00,Met Eireann,Snow-ice warning for Connacht and Donegal,Lying snow and icy conditions will continue to make many roads and paths very slippery.\nSnow melt will continue to increase river-levels and may also lead to localised surface water flooding.,,2; yellow; Moderate,Connacht and Donegal,Galway;Leitrim;Mayo;Roscommon;Sligo;Donegal,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.0.372.0.IE.180313181523.779749,https://www.met.ie/nationalwarnings/default.asp,2018-03-13 18:15:23+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-03-13 13:00:01+00:00,2018-03-14 08:00:01+00:00,2018-03-14 18:00:01+00:00,Met Eireann,"Wind warning for Leinster, Cork, Tipperary and Waterford",Southeast winds will reach mean speeds of 50 to 65km/h with gusts between 90 and 100km/h. Winds strongest along southern areas at first but gradually extending to all parts of Leinster by late morning and afternoon.,,2; yellow; Moderate,"Leinster, Cork, Tipperary and Waterford",Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Cork,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.200115123721.840541,forecasts@met.ie,2020-01-15 12:37:21+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-01-15 10:00:01+00:00,2020-01-16 00:01:01+00:00,2020-01-16 12:00:01+00:00,Met Eireann,Wind warning for Kerry,"South to Southeast winds 50 to 65 km/hr gusts 90 to 110 km/hr, strongest on coasts and hills.",,2; yellow; Moderate,Kerry,Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.201113231801.437574,forecasts@met.ie,2020-11-13 23:18:01+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-11-13 19:00:01+00:00,2020-11-14 11:00:01+00:00,2020-11-14 15:00:01+00:00,Met Eireann,Wind warning for Munster,Strong and gusty southwest to west winds with gusts in excess of 90km/h.,,2; yellow; Moderate,Munster,Clare;Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.191003111824.423269,forecasts@met.ie,2019-10-03 11:18:24+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2019-10-03 06:00:00+00:00,2019-10-03 08:00:00+00:00,2019-10-04 05:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Update\nThe effects of Storm Lorenzo will begin to be felt across Ireland this morning.\nIn early October, trees are mostly in full leaf with a large surface area, so even moderate strength winds can bring down weakened trees and/or tree limbs. In addition, some trees may be compromised due to saturated soils at the moment, and with more rain likely some disruption due to falling trees/branches is likely. The rain, coupled with falling leaves may block drains and gullies, leading to surface flooding.\n\nCoastal:\nStorm Lorenzo will produce significant swell, high waves and sizeable storm surges. This will lead to wave overtopping, some coastal flooding and damage. \n\nSurface Flooding: \nSaturated soils and the expected heavy rainfall may lead to surface flooding. \n\nRiver:\nRiver levels are currently elevated across the country and the rainfall may lead to river flooding in parts of the midlands, west and northwest. River levels will continue to rise after Storm Lorenzo has passed.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.200214233427.453071,forecasts@met.ie,2020-02-14 23:34:27+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2020-02-14 11:00:01+00:00,2020-02-15 06:00:01+00:00,2020-02-15 21:00:01+00:00,Met Eireann,Rainfall warning for Ireland,"Spells of heavy, locally thundery rain, on Saturday will lead to some flooding.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.191214054829.714998,forecasts@met.ie,2019-12-14 05:48:29+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2019-12-13 15:00:01+00:00,2019-12-14 00:01:01+00:00,2019-12-14 23:59:01+00:00,Met Eireann,"Snow/Ice warning for Cavan, Donegal, Leitrim, Mayo, Roscommon and Sligo","Wintry showers will give localised accumulations of hail and snow, compacting to ice in some areas and leading to hazardous driving conditions.",,2; yellow; Moderate,"Cavan, Donegal, Leitrim, Mayo, Roscommon and Sligo",Cavan;Donegal;Leitrim;Mayo;Roscommon;Sligo,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.180727231325.401406,forecasts@met.ie,2018-07-27 23:13:25+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2018-07-27 14:00:01+00:00,2018-07-27 20:00:01+00:00,2018-07-28 08:00:01+00:00,Met Eireann,"Rainfall warning for Leinster, Cavan, Monaghan, Donegal and Waterford",Thundery downpours in places may lead to rainfall accumulations of 25-40mm.,,2; yellow; Moderate,"Leinster, Cavan, Monaghan, Donegal and Waterford",Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Cavan;Monaghan;Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200824223324.082704,forecasts@met.ie,2020-08-24 22:33:24+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2020-08-24 10:02:15+00:00,2020-08-24 20:00:01+00:00,2020-08-25 20:00:01+00:00,Met Eireann,"Rainfall warning for Dublin, Carlow, Kildare, Kilkenny, Laois, Longford, Louth, Wicklow, Offaly, Westmeath, Meath, Clare, Limerick and Tipperary","Intense rainfall associated with Storm Francis is expected at times Monday night and Tuesday, leading to accumulations of 30 to 50mm with surface flooding.\n\nThis rainfall will further elevate river levels and may result in river flooding also.",,2; yellow; Moderate,"Dublin, Carlow, Kildare, Kilkenny, Laois, Longford, Louth, Wicklow, Offaly, Westmeath, Meath, Clare, Limerick and Tipperary",Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Wicklow;Offaly;Westmeath;Meath;Clare,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.190415114158.042218,forecasts@met.ie,2019-04-15 11:41:58+00:00,Actual,Alert,Public,en-GB,Met,Severe Rainfall warning,None,Expected,Severe,Likely,2019-04-14 09:00:01+00:00,2019-04-14 17:00:01+00:00,2019-04-15 17:00:01+00:00,Met Eireann,Rainfall warning for Cork and Waterford,"Heavy rain Sunday night and Monday will result in large rainfall amounts. \n\nHazardous driving conditions expected, with flooding possible. Rainfall amounts will be highest along the south coast and about higher ground.",,3; orange; Severe,Cork and Waterford,Cork,10; Rain,,Orange,Severe,Rain
2.49.0.1.372.0.200620044503.504772,forecasts@met.ie,2020-06-20 04:45:03+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-06-19 12:00:01+00:00,2020-06-20 08:00:01+00:00,2020-06-20 19:00:01+00:00,Met Eireann,"Wind warning for Galway, Mayo, Clare, Cork and Kerry","On Saturday, in coastal areas and on exposed hills and mountains, southerly winds will reach mean speeds of 45 to 60 km/hr with gusts of 80 to 100 km/hr",,2; yellow; Moderate,"Galway, Mayo, Clare, Cork and Kerry",Galway;Mayo;Clare;Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.200127045034.741090,forecasts@met.ie,2020-01-27 04:50:34+00:00,Actual,Alert,Public,en-GB,Met,Moderate Snow-ice warning,None,Expected,Moderate,Likely,2020-01-26 10:00:01+00:00,2020-01-26 18:00:01+00:00,2020-01-27 11:00:01+00:00,Met Eireann,"Snow/Ice warning for Connacht, Cavan and Donegal","Tonight and on Monday morning, wintry showers will bring some accumulations of snow, especially on high ground.",,2; yellow; Moderate,"Connacht, Cavan and Donegal",Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal,2; snow-ice,,Yellow,Moderate,Snow-Ice
