event_key,Issue Time,issue_count,first_issue,last_issue,Valid From,Valid To,warning_type,warning_text,location,warning_colour
"2017-09-26 22:37:28+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Cork,Kerry",2017-09-26 22:37:28+00:00,1,2017-09-26 22:37:28+00:00,2017-09-26 22:37:28+00:00,2017-09-26 22:37:28+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,"Rainfall accumulations between 30mm and 50mm expected over a 24 hour period, but higher accumulations possible in hilly and mountainous areas.","Cork,Kerry",Yellow
"2017-09-27 04:27:44+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",2017-09-27 04:27:44+00:00,1,2017-09-27 04:27:44+00:00,2017-09-27 04:27:44+00:00,2017-09-27 04:27:44+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,Rainfall accumulations between 30mm and 50mm expected over a 24 hour period.,"Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",Yellow
"2017-09-27 08:55:42+00:00_2017-09-27 19:00:01+00:00_Moderate Rainfall warning_Yellow_Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",2017-09-27 08:55:42+00:00,1,2017-09-27 08:55:42+00:00,2017-09-27 08:55:42+00:00,2017-09-27 08:55:42+00:00,2017-09-27 19:00:01+00:00,Moderate Rainfall warning,Rainfall accumulations between 30mm and 50mm expected over a 24 hour period.,"Connacht,Kilkenny,Donegal,Clare,Limerick,Tipperary,Waterford",Yellow
2017-09-27 08:57:48+00:00_2017-09-27 20:00:01+00:00_Moderate Rainfall warning_Yellow_Ireland,2017-09-27 08:57:48+00:00,1,2017-09-27 08:57:48+00:00,2017-09-27 08:57:48+00:00,2017-09-27 08:57:48+00:00,2017-09-27 20:00:01+00:00,Moderate Rainfall warning,Update: Further rainfall accumulations between 25mm and 40mm expected.,Ireland,Yellow
2017-09-27 16:13:57+00:00_2017-09-27 20:00:01+00:00_Moderate Rainfall warning_Yellow_Ireland,2017-09-27 16:13:57+00:00,1,2017-09-27 16:13:57+00:00,2017-09-27 16:13:57+00:00,2017-09-27 16:13:57+00:00,2017-09-27 20:00:01+00:00,Moderate Rainfall warning,Update: Further rainfall accumulations between 25mm and 40mm expected.,Ireland,Yellow
"2017-09-27 16:13:57+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-27 16:13:57+00:00,1,2017-09-27 16:13:57+00:00,2017-09-27 16:13:57+00:00,2017-09-27 16:13:57+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
2017-09-27 17:08:01+00:00_2017-09-27 20:00:01+00:00_Moderate Rainfall warning_Yellow_Ireland,2017-09-27 17:08:01+00:00,1,2017-09-27 17:08:01+00:00,2017-09-27 17:08:01+00:00,2017-09-27 17:08:01+00:00,2017-09-27 20:00:01+00:00,Moderate Rainfall warning,Update: Further rainfall accumulations between 25mm and 40mm expected.,Ireland,Yellow
"2017-09-27 17:08:01+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-27 17:08:01+00:00,1,2017-09-27 17:08:01+00:00,2017-09-27 17:08:01+00:00,2017-09-27 17:08:01+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-27 22:24:00+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-27 22:24:00+00:00,1,2017-09-27 22:24:00+00:00,2017-09-27 22:24:00+00:00,2017-09-27 22:24:00+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-28 04:35:45+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-28 04:35:45+00:00,1,2017-09-28 04:35:45+00:00,2017-09-28 04:35:45+00:00,2017-09-28 04:35:45+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-28 04:38:02+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-28 04:38:02+00:00,1,2017-09-28 04:38:02+00:00,2017-09-28 04:38:02+00:00,2017-09-28 04:38:02+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-28 10:06:03+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-28 10:06:03+00:00,1,2017-09-28 10:06:03+00:00,2017-09-28 10:06:03+00:00,2017-09-28 10:06:03+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-28 10:11:53+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-28 10:11:53+00:00,1,2017-09-28 10:11:53+00:00,2017-09-28 10:11:53+00:00,2017-09-28 10:11:53+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-28 16:02:06+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-28 16:02:06+00:00,1,2017-09-28 16:02:06+00:00,2017-09-28 16:02:06+00:00,2017-09-28 16:02:06+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-29 04:10:03+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-29 04:10:03+00:00,1,2017-09-29 04:10:03+00:00,2017-09-29 04:10:03+00:00,2017-09-29 04:10:03+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-29 04:12:18+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-29 04:12:18+00:00,1,2017-09-29 04:12:18+00:00,2017-09-29 04:12:18+00:00,2017-09-29 04:12:18+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-29 11:04:36+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-29 11:04:36+00:00,1,2017-09-29 11:04:36+00:00,2017-09-29 11:04:36+00:00,2017-09-29 11:04:36+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-29 11:06:15+00:00_2017-09-29 12:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Mayo,Clare,Kerry",2017-09-29 11:06:15+00:00,1,2017-09-29 11:06:15+00:00,2017-09-29 11:06:15+00:00,2017-09-29 11:06:15+00:00,2017-09-29 12:00:01+00:00,Moderate Wind warning,"Southerly winds 55-65 km/hr, gusts 90 to 100 km/hr to affect Atlantic coastal fringes of the West and Northwest.","Donegal,Galway,Mayo,Clare,Kerry",Yellow
"2017-09-30 11:44:42+00:00_2017-10-02 01:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-09-30 11:44:42+00:00,1,2017-09-30 11:44:42+00:00,2017-09-30 11:44:42+00:00,2017-09-30 11:44:42+00:00,2017-10-02 01:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds will reach speeds of 55 to 65 km with gusts of 65 to 85 km, mainly in coastsl areas","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-09-30 11:46:50+00:00_2017-10-02 01:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-09-30 11:46:50+00:00,1,2017-09-30 11:46:50+00:00,2017-09-30 11:46:50+00:00,2017-09-30 11:46:50+00:00,2017-10-02 01:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds will reach speeds of 55 to 65 km with gusts of 65 to 85 km, mainly in coastsl areas","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-09-30 12:06:29+00:00_2017-10-02 01:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-09-30 12:06:29+00:00,1,2017-09-30 12:06:29+00:00,2017-09-30 12:06:29+00:00,2017-09-30 12:06:29+00:00,2017-10-02 01:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds will reach speeds of 55 to 65 km with gusts of 65 to 85 km, mainly in coastsl areas","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-09-30 16:14:52+00:00_2017-10-02 01:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-09-30 16:14:52+00:00,1,2017-09-30 16:14:52+00:00,2017-09-30 16:14:52+00:00,2017-09-30 16:14:52+00:00,2017-10-02 01:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds will reach speeds of 55 to 65 km with gusts of 65 to 85 km, mainly in coastsl areas","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-09-30 21:24:52+00:00_2017-10-02 01:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-09-30 21:24:52+00:00,1,2017-09-30 21:24:52+00:00,2017-09-30 21:24:52+00:00,2017-09-30 21:24:52+00:00,2017-10-02 01:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds will reach speeds of 55 to 65 km with gusts of 65 to 85 km, mainly in coastsl areas","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-10-01 08:51:22+00:00_2017-10-02 08:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-10-01 08:51:22+00:00,1,2017-10-01 08:51:22+00:00,2017-10-01 08:51:22+00:00,2017-10-01 08:51:22+00:00,2017-10-02 08:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds veering west to northwest will reach speeds of 55 to 65 km/hr with gusts of 80 to 90 km/hr in coastal areas of the West and North.","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-10-01 22:09:20+00:00_2017-10-02 08:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-10-01 22:09:20+00:00,1,2017-10-01 22:09:20+00:00,2017-10-01 22:09:20+00:00,2017-10-01 22:09:20+00:00,2017-10-02 08:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds veering west to northwest will reach speeds of 55 to 65 km/hr with gusts of 80 to 90 km/hr in coastal areas of the West and North.","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-10-02 04:43:48+00:00_2017-10-02 08:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-10-02 04:43:48+00:00,1,2017-10-02 04:43:48+00:00,2017-10-02 04:43:48+00:00,2017-10-02 04:43:48+00:00,2017-10-02 08:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds veering west to northwest will reach speeds of 55 to 65 km/hr with gusts of 80 to 90 km/hr in coastal areas of the West and North.","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
"2017-10-02 04:45:26+00:00_2017-10-02 08:00:01+00:00_Moderate Wind warning_Yellow_Donegal,Galway,Leitrim,Mayo,Sligo,Clare",2017-10-02 04:45:26+00:00,1,2017-10-02 04:45:26+00:00,2017-10-02 04:45:26+00:00,2017-10-02 04:45:26+00:00,2017-10-02 08:00:01+00:00,Moderate Wind warning,"On Sunday evening and night, west to southwest winds veering west to northwest will reach speeds of 55 to 65 km/hr with gusts of 80 to 90 km/hr in coastal areas of the West and North.","Donegal,Galway,Leitrim,Mayo,Sligo,Clare",Yellow
2017-10-03 16:38:25+00:00_2017-10-05 01:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2017-10-03 16:38:25+00:00,1,2017-10-03 16:38:25+00:00,2017-10-03 16:38:25+00:00,2017-10-03 16:38:25+00:00,2017-10-05 01:00:01+00:00,Moderate Rainfall warning,"Heavy rain at times Wednesday and for a time overnight will lead to accumulations of 30 to 50mm, highest in hilly and mountainous areas.",Donegal,Yellow
2017-10-04 04:24:23+00:00_2017-10-05 01:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2017-10-04 04:24:23+00:00,1,2017-10-04 04:24:23+00:00,2017-10-04 04:24:23+00:00,2017-10-04 04:24:23+00:00,2017-10-05 01:00:01+00:00,Moderate Rainfall warning,"Heavy rain at times Wednesday and for a time overnight will lead to accumulations of 30 to 50mm, highest in hilly and mountainous areas.",Donegal,Yellow
2017-10-04 08:17:16+00:00_2017-10-05 01:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2017-10-04 08:17:16+00:00,1,2017-10-04 08:17:16+00:00,2017-10-04 08:17:16+00:00,2017-10-04 08:17:16+00:00,2017-10-05 01:00:01+00:00,Moderate Rainfall warning,"Heavy rain at times Wednesday and for a time overnight will lead to accumulations of 30 to 50mm, highest in hilly and mountainous areas.",Donegal,Yellow
"2017-10-04 10:57:24+00:00_2017-10-04 21:59:01+00:00_Moderate Wind warning_Yellow_CoastsofGalway,Mayo,Clare,Kerry",2017-10-04 10:57:24+00:00,1,2017-10-04 10:57:24+00:00,2017-10-04 10:57:24+00:00,2017-10-04 10:57:24+00:00,2017-10-04 21:59:01+00:00,Moderate Wind warning,"Warning for coastal areas. Southwest winds later veering northwest, with mean speeds of 50 to 60 km/h will gust 90 to 95km/h.","CoastsofGalway,Mayo,Clare,Kerry",Yellow
2017-10-04 16:13:29+00:00_2017-10-05 01:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2017-10-04 16:13:29+00:00,1,2017-10-04 16:13:29+00:00,2017-10-04 16:13:29+00:00,2017-10-04 16:13:29+00:00,2017-10-05 01:00:01+00:00,Moderate Rainfall warning,"Heavy rain at times Wednesday and for a time overnight will lead to accumulations of 30 to 50mm, highest in hilly and mountainous areas.",Donegal,Yellow
"2017-10-04 23:19:25+00:00_2017-10-04 21:59:01+00:00_Moderate Wind warning_Yellow_CoastsofGalway,Mayo,Clare,Kerry",2017-10-04 23:19:25+00:00,1,2017-10-04 23:19:25+00:00,2017-10-04 23:19:25+00:00,2017-10-04 23:19:25+00:00,2017-10-04 21:59:01+00:00,Moderate Wind warning,"Warning for coastal areas. Southwest winds later veering northwest, with mean speeds of 50 to 60 km/h will gust 90 to 95km/h.","CoastsofGalway,Mayo,Clare,Kerry",Yellow
2017-10-04 23:19:25+00:00_2017-10-05 01:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2017-10-04 23:19:25+00:00,1,2017-10-04 23:19:25+00:00,2017-10-04 23:19:25+00:00,2017-10-04 23:19:25+00:00,2017-10-05 01:00:01+00:00,Moderate Rainfall warning,"Heavy rain at times Wednesday and for a time overnight will lead to accumulations of 30 to 50mm, highest in hilly and mountainous areas.",Donegal,Yellow
"2017-10-04 23:21:36+00:00_2017-10-04 21:59:01+00:00_Moderate Wind warning_Yellow_CoastsofGalway,Mayo,Clare,Kerry",2017-10-04 23:21:36+00:00,1,2017-10-04 23:21:36+00:00,2017-10-04 23:21:36+00:00,2017-10-04 23:21:36+00:00,2017-10-04 21:59:01+00:00,Moderate Wind warning,"Warning for coastal areas. Southwest winds later veering northwest, with mean speeds of 50 to 60 km/h will gust 90 to 95km/h.","CoastsofGalway,Mayo,Clare,Kerry",Yellow
2017-10-04 23:21:36+00:00_2017-10-05 01:00:01+00:00_Moderate Rainfall warning_Yellow_Donegal,2017-10-04 23:21:36+00:00,1,2017-10-04 23:21:36+00:00,2017-10-04 23:21:36+00:00,2017-10-04 23:21:36+00:00,2017-10-05 01:00:01+00:00,Moderate Rainfall warning,"Heavy rain at times Wednesday and for a time overnight will lead to accumulations of 30 to 50mm, highest in hilly and mountainous areas.",Donegal,Yellow
2017-10-12 13:21:58+00:00_2017-10-17 04:00:00+00:00_Moderate Advisory warning_Yellow_Ireland,2017-10-12 13:21:58+00:00,1,2017-10-12 13:21:58+00:00,2017-10-12 13:21:58+00:00,2017-10-12 13:21:58+00:00,2017-10-17 04:00:00+00:00,Moderate Advisory warning,"A combination of a vigorous Atlantic weather system and the remnants of Hurricane Ophelia will pass close to Ireland on Monday, and has the potential to be a high-impact event in parts of the country. There is a lot of uncertainty as to the exact evolution and movement of this weather system during the coming four days, but storm-force winds, outbreaks of heavy rain, and very high seas are threatened. Met ireann will maintain a close watch on the evolution and issue further advisories and warnings as these are warranted.",Ireland,Yellow
2017-10-12 13:41:44+00:00_2017-10-17 04:00:00+00:00_Moderate Advisory warning_Yellow_Ireland,2017-10-12 13:41:44+00:00,1,2017-10-12 13:41:44+00:00,2017-10-12 13:41:44+00:00,2017-10-12 13:41:44+00:00,2017-10-17 04:00:00+00:00,Moderate Advisory warning,"A combination of a vigorous Atlantic weather system and the remnants of Hurricane Ophelia will pass close to Ireland on Monday, and has the potential to be a high-impact event in parts of the country. There is a lot of uncertainty as to the exact evolution and movement of this weather system during the coming four days, but storm-force winds, outbreaks of heavy rain, and very high seas are threatened. Met ireann will maintain a close watch on the evolution and issue further advisories and warnings as these are warranted.",Ireland,Yellow
2017-10-12 14:10:06+00:00_2017-10-17 04:00:00+00:00_Moderate Advisory warning_Yellow_Ireland,2017-10-12 14:10:06+00:00,2,2017-10-12 14:10:06+00:00,2017-10-12 14:10:06+00:00,2017-10-12 14:10:06+00:00,2017-10-17 04:00:00+00:00,Moderate Advisory warning,"A combination of a vigorous Atlantic weather system and the remnants of Hurricane Ophelia will pass close to Ireland on Monday, and has the potential to be a high-impact event in parts of the country. There is a lot of uncertainty as to the exact evolution and movement of this weather system during the coming four days, but storm-force winds, outbreaks of heavy rain, and very high seas are threatened. Met Eireann will maintain a close watch on the evolution and issue further advisories and warnings as these are warranted.",Ireland,Yellow
2017-10-12 14:14:18+00:00_2017-10-17 04:00:00+00:00_Moderate Advisory warning_Yellow_Ireland,2017-10-12 14:14:18+00:00,1,2017-10-12 14:14:18+00:00,2017-10-12 14:14:18+00:00,2017-10-12 14:14:18+00:00,2017-10-17 04:00:00+00:00,Moderate Advisory warning,"A combination of a vigorous Atlantic weather system and the remnants of Hurricane Ophelia will pass close to Ireland on Monday, and has the potential to be a high-impact event in parts of the country. There is a lot of uncertainty as to the exact evolution and movement of this weather system during the coming four days, but storm-force winds, outbreaks of heavy rain, and very high seas are threatened. Met Eireann will maintain a close watch on the evolution and issue further advisories and warnings as these are warranted.",Ireland,Yellow
2017-10-12 16:32:21+00:00_2017-10-17 04:00:00+00:00_Moderate Advisory warning_Yellow_Ireland,2017-10-12 16:32:21+00:00,1,2017-10-12 16:32:21+00:00,2017-10-12 16:32:21+00:00,2017-10-12 16:32:21+00:00,2017-10-17 04:00:00+00:00,Moderate Advisory warning,"A combination of a vigorous Atlantic weather system and the remnants of Hurricane Ophelia will pass close to Ireland on Monday, and has the potential to be a high-impact event in parts of the country. There is a lot of uncertainty as to the exact evolution and movement of this weather system during the coming four days, but storm-force winds, outbreaks of heavy rain, and very high seas are threatened. Met Eireann will maintain a close watch on the evolution and issue further advisories and warnings as these are warranted.",Ireland,Yellow
2017-10-12 22:14:16+00:00_2017-10-17 04:00:00+00:00_Moderate Advisory warning_Yellow_Ireland,2017-10-12 22:14:16+00:00,1,2017-10-12 22:14:16+00:00,2017-10-12 22:14:16+00:00,2017-10-12 22:14:16+00:00,2017-10-17 04:00:00+00:00,Moderate Advisory warning,"A combination of a vigorous Atlantic weather system and the remnants of Hurricane Ophelia will pass close to Ireland on Monday, and has the potential to be a high-impact event in parts of the country. There is a lot of uncertainty as to the exact evolution and movement of this weather system during the coming four days, but storm-force winds, outbreaks of heavy rain, and very high seas are threatened. Met Eireann will maintain a close watch on the evolution and issue further advisories and warnings as these are warranted.",Ireland,Yellow
2017-10-13 04:32:25+00:00_2017-10-17 04:00:00+00:00_Moderate Advisory warning_Yellow_Ireland,2017-10-13 04:32:25+00:00,1,2017-10-13 04:32:25+00:00,2017-10-13 04:32:25+00:00,2017-10-13 04:32:25+00:00,2017-10-17 04:00:00+00:00,Moderate Advisory warning,"A combination of a vigorous Atlantic weather system and the remnants of Hurricane Ophelia will pass close to Ireland on Monday, and has the potential to be a high-impact event in parts of the country. There is a lot of uncertainty as to the exact evolution and movement of this weather system during the coming four days, but storm-force winds, outbreaks of heavy rain, and very high seas are threatened. Met Eireann will maintain a close watch on the evolution and issue further advisories and warnings as these are warranted.",Ireland,Yellow
