identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.220217113854.N_Norm004_Weather,forecasts@met.ie,2022-02-17 11:38:54+00:00,Actual,Alert,Public,en-GB,Met,Orange Wind,Prepare,Future,Severe,Likely,2022-02-17 11:38:54+00:00,2022-02-18 03:00:00+00:00,2022-02-18 11:00:00+00:00,Met Éireann,"Wind warning for Carlow, Dublin, Kildare, Kilkenny, Laois, Offaly, Wexford, Wicklow, Munster, Galway","Storm Eunice will track quickly over Ireland tonight and Friday morning bringing severe and damaging winds for a time.  Southwest or cyclonic winds becoming northwest will reach mean speeds of 65 to 80 km/h with gusts up to 130 km/h.  Some coastal flooding, especially at high tide.  ",,3; orange; Severe,"Carlow, Dublin, Kildare, Kilkenny, Laois, Offaly, Wexford, Wicklow, Munster, Galway",Carlow;Kildare;Kilkenny;Laois;Offaly;Wexford;Wicklow;Clare;Cork;Kerry;Galway,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.210930053713.487841,forecasts@met.ie,2021-09-30 05:37:13+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-09-30 06:33:52+00:00,2021-09-30 06:33:46+00:00,2021-09-30 21:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.220222202706.212800,forecasts@met.ie,2022-02-22 20:27:06+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-02-22 20:18:04+00:00,2022-02-23 22:00:00+00:00,2022-02-24 10:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.210310131154.N_Norm004_Weather,forecasts@met.ie,2021-03-10 13:11:54+00:00,Actual,Alert,Public,en-GB,Met,Orange Wind,Prepare,Future,Severe,Likely,2021-03-10 20:00:00+00:00,2021-03-10 20:00:00+00:00,2021-03-13 13:30:00+00:00,Met Éireann,"Wind warning for Cork, Kerry",Southwest to west winds will reach mean speeds of 65 to 80km/h with damaging gusts to 120km/h for a time early tonight with some wave overtopping. ,,3; orange; Severe,"Cork, Kerry",Cork;Kerry,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.221121104455.254107,forecasts@met.ie,2022-11-21 10:44:55+00:00,Actual,Alert,Public,en-GB,Met,Severe  warning,None,Expected,Severe,Likely,2022-11-21 10:44:17+00:00,2022-11-21 10:44:06+00:00,2022-11-21 20:00:00+00:00,Met Eireann, warning for ,,,3; orange; Severe,,All,,,Orange,Severe,nan
2.49.0.1.372.0.221223045417.055268,forecasts@met.ie,2022-12-23 04:54:17+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-12-23 04:53:20+00:00,2022-12-23 04:53:10+00:00,2022-12-23 05:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.211125111620.141928,forecasts@met.ie,2021-11-25 11:16:20+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-11-25 11:15:42+00:00,2021-11-26 15:00:00+00:00,2021-11-27 06:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.210519124741.165466,forecasts@met.ie,2021-05-19 12:47:41+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-05-19 13:45:15+00:00,2021-05-20 00:00:00+00:00,2021-05-21 00:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.230310010734.N_Norm006_Weather,forecasts@met.ie,2023-03-10 01:07:34+00:00,Actual,Alert,Public,en-GB,Met,Yellow Snow/Ice,Monitor,Immediate,Moderate,Likely,2023-03-10 01:07:34+00:00,2023-03-10 01:07:01+00:00,2023-03-10 12:00:00+00:00,Met Éireann,Ice warning for Ireland,"Cold this morning with a widespread frost and icy surfaces in places, leading to hazardous travel conditions.",,2; yellow; Moderate,Ireland,Wexford;Meath;Wicklow;Offaly;Louth;Longford;Carlow;Laois;Westmeath;Kilkenny;Kildare;Cavan;Monaghan;Donegal;Clare;Cork;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.210209104301.164387,forecasts@met.ie,2021-02-09 10:43:01+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2021-02-05 13:00:00+00:00,2021-02-07 06:03:00+00:00,2021-02-10 18:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Sunday, Monday, Tuesday and Wednesday will be very cold with temperatures in low single figures by day and with sharp or severe frosts and icy patches at night. \n\nShowers of sleet or snow at times in eastern counties from Sunday evening onwards.\n\nHazardous conditions on roads and paths.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.220218173652.240030,forecasts@met.ie,2022-02-18 17:36:52+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-02-18 17:36:10+00:00,2022-02-18 17:35:56+00:00,2022-02-21 09:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.211231211355.N_Norm005_Weather,forecasts@met.ie,2021-12-31 21:13:55+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Immediate,Moderate,Likely,2021-12-31 21:13:55+00:00,2021-12-31 21:13:49+00:00,2022-01-01 08:00:00+00:00,Met Éireann,"Wind warning for Galway, Mayo, Kerry","Southerly winds, veering southwesterly, will reach mean speeds of 50 to 65km/h with gusts of up to 100km/h, higher in coastal areas and on high ground.

Localised wave overtopping is possible.",,2; yellow; Moderate,"Galway, Mayo, Kerry",Galway;Mayo;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.220908150957.733282,forecasts@met.ie,2022-09-08 15:09:57+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-09-08 16:08:41+00:00,2022-09-08 16:08:32+00:00,2022-09-08 21:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.220206050044.N_Norm004_Weather,forecasts@met.ie,2022-02-06 05:00:44+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Future,Moderate,Likely,2022-02-06 05:00:44+00:00,2022-02-06 11:00:00+00:00,2022-02-06 16:00:00+00:00,Met Éireann,Wind warning for Donegal,"West to northwest winds will widely reach mean speeds of 50 to 60km/h with gusts of 90 to 100km/h. Winds will be stronger near coastal areas, where localised wave overtopping is possible, and on high ground.",,2; yellow; Moderate,Donegal,Donegal,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.220308184045.N_Norm003_Weather,forecasts@met.ie,2022-03-08 18:40:45+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Future,Moderate,Likely,2022-03-08 18:40:45+00:00,2022-03-08 23:00:00+00:00,2022-03-09 19:00:00+00:00,Met Éireann,"Rain warning for Carlow, Kilkenny, Wexford, Wicklow, Cork, Kerry, Limerick, Tipperary, Waterford","Tonight (Tuesday) and on Wednesday, heavy falls of rain, falling as sleet or snow in places for a time, with localised flooding and poor driving conditions. ",,2; yellow; Moderate,"Carlow, Kilkenny, Wexford, Wicklow, Cork, Kerry, Limerick, Tipperary, Waterford",Carlow;Kilkenny;Wexford;Wicklow;Cork;Kerry,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.221031110218.N_Norm002_Weather,forecasts@met.ie,2022-10-31 11:02:18+00:00,Actual,Alert,Public,en-GB,Met,Orange Rain,Prepare,Expected,Severe,Likely,2022-10-31 11:02:18+00:00,2022-10-31 12:00:00+00:00,2022-10-31 17:00:00+00:00,Met Éireann,"Rain warning for Cork, Tipperary, Waterford, Kilkenny",Intense rain this afternoon (Monday) will lead to some flooding. ,,3; orange; Severe,"Cork, Tipperary, Waterford, Kilkenny",Cork;Kilkenny,10; Rain,,Orange,Severe,Rain
2.49.0.1.372.0.211229173650.494157,forecasts@met.ie,2021-12-29 17:36:50+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-12-29 17:34:59+00:00,2021-12-30 11:00:00+00:00,2021-12-31 05:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.211004161555.693726,forecasts@met.ie,2021-10-04 16:15:55+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-10-04 17:15:02+00:00,2021-10-04 18:00:00+00:00,2021-10-05 04:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.211213135103.125237,forecasts@met.ie,2021-12-13 13:51:03+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-12-13 13:45:16+00:00,2021-12-13 19:00:00+00:00,2021-12-14 09:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.210312155535.N_Norm002_Weather,forecasts@met.ie,2021-03-12 15:55:35+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2021-03-12 15:55:35+00:00,2021-03-12 15:54:43+00:00,2021-03-13 15:00:00+00:00,Met Éireann,Rainfall warning for Donegal,Heavy rain at times during the period. Potential for surface and river flooding. ,,2; yellow; Moderate,Donegal,Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.210207174404.141629,forecasts@met.ie,2021-02-07 17:44:04+00:00,Actual,Alert,Public,en-GB,Met,Moderate Advisory warning,None,Expected,Moderate,Possible,2021-02-05 13:00:00+00:00,2021-02-07 06:03:00+00:00,2021-02-10 18:00:00+00:00,Met Eireann,Weather Advisory for Ireland,"Sunday, Monday, Tuesday and Wednesday will be very cold with temperatures in low single figures by day and with sharp or severe frosts and icy patches at night. \n\nShowers of sleet or snow at times in eastern counties from Sunday evening onwards.\n\nHazardous conditions on roads and paths.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,22; Advisory,,Yellow,Moderate,Advisory
2.49.0.1.372.0.210216153308.548272,forecasts@met.ie,2021-02-16 15:33:08+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2021-02-16 11:00:01+00:00,2021-02-17 00:00:01+00:00,2021-02-17 08:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway and Mayo","Southwesterly winds tonight will reach mean speeds of 50 to 65km/h and gusts of 80 to 100km/h, highest in coastal areas. Where winds are onshore there is a risk of coastal flooding around high tide.",,2; yellow; Moderate,"Donegal, Galway and Mayo",Donegal;Galway;Mayo,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.230714215256.N_Norm006_Weather,forecasts@met.ie,2023-07-14 21:52:56+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Future,Moderate,Likely,2023-07-14 21:52:56+00:00,2023-07-15 09:00:00+00:00,2023-07-15 20:00:00+00:00,Met Éireann,"Wind warning for coastal areas of Galway, Mayo and the off-shore islands.",Unseasonably strong winds.,,2; yellow; Moderate,"Galway, Mayo",Galway;Mayo,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.230103081816.369762,forecasts@met.ie,2023-01-03 08:18:16+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-01-03 08:15:18+00:00,2023-01-03 08:15:07+00:00,2023-01-03 20:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.221016085513.272798,forecasts@met.ie,2022-10-16 08:55:13+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-10-16 09:53:24+00:00,2022-10-16 13:00:00+00:00,2022-10-17 12:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.211030152251.N_Norm004_Weather,forecasts@met.ie,2021-10-30 15:22:51+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Future,Moderate,Likely,2021-10-30 15:22:51+00:00,2021-10-30 21:00:00+00:00,2021-10-31 02:00:00+00:00,Met Éireann,"Rain warning for Munster, Galway, Mayo, Roscommon, Sligo",Heavy rain with a risk of thunderstorms,,2; yellow; Moderate,"Munster, Galway, Mayo, Roscommon, Sligo",Clare;Cork;Kerry;Galway;Mayo;Roscommon;Sligo,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.220903221309.N_Norm003_Weather,forecasts@met.ie,2022-09-03 22:13:09+00:00,Actual,Alert,Public,en-GB,Met,Orange Rain,Prepare,Future,Severe,Likely,2022-09-03 22:13:09+00:00,2022-09-04 03:00:00+00:00,2022-09-04 07:00:00+00:00,Met Éireann,"Rain warning for Carlow, Kildare, Kilkenny, Laois, Longford, Offaly, Westmeath, Wexford, Wicklow, Cavan, Donegal, Leitrim, Roscommon, Sligo, Waterford","Local intense rainfall (50mm), and squalls likely. 
See yellow warnings also.",,3; orange; Severe,"Carlow, Kildare, Kilkenny, Laois, Longford, Offaly, Westmeath, Wexford, Wicklow, Cavan, Donegal, Leitrim, Roscommon, Sligo, Waterford",Carlow;Kildare;Kilkenny;Laois;Longford;Offaly;Westmeath;Wexford;Wicklow;Cavan;Donegal;Leitrim;Roscommon;Sligo,10; Rain,,Orange,Severe,Rain
2.49.0.1.372.0.220218173401.N_Norm008_Weather,forecasts@met.ie,2022-02-18 17:34:01+00:00,Actual,Alert,Public,en-GB,Met,Yellow Wind,Monitor,Immediate,Moderate,Likely,2022-02-18 17:34:01+00:00,2022-02-18 17:33:33+00:00,2022-02-18 18:00:00+00:00,Met Éireann,Wind Warning for Ireland,Northwest winds backing westerly will reach mean speeds of 50 to 65km/h with gusts of up to 110km/h. Coastal flooding is possible.,,2; yellow; Moderate,Ireland,Wexford;Meath;Wicklow;Offaly;Louth;Longford;Carlow;Laois;Westmeath;Kilkenny;Kildare;Cavan;Monaghan;Donegal;Clare;Cork;Kerry;Sligo;Roscommon;Leitrim;Mayo;Galway,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.210930053524.874117,forecasts@met.ie,2021-09-30 05:35:24+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2021-09-30 06:33:52+00:00,2021-09-30 06:33:46+00:00,2021-09-30 21:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.221003205039.N_Norm003_Weather,forecasts@met.ie,2022-10-03 20:50:39+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Immediate,Moderate,Likely,2022-10-03 20:50:29+00:00,2022-10-03 21:00:00+00:00,2022-10-04 04:00:00+00:00,Met Éireann,"Rain warning for Donegal, Galway, Mayo","Heavy rainfall tonight (Monday night), and for a time on Tuesday morning may cause localised flooding.",,2; yellow; Moderate,"Donegal, Galway, Mayo",Donegal;Galway;Mayo,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.230307170501.N_Norm014_Weather,forecasts@met.ie,2023-03-07 17:05:01+00:00,Actual,Alert,Public,en-GB,Met,Yellow Snow/Ice,Monitor,Future,Moderate,Likely,2023-03-07 17:05:01+00:00,2023-03-09 06:00:00+00:00,2023-03-10 00:00:00+00:00,Met Éireann,"Snow/Ice warning for Cavan, Donegal, Monaghan, Connacht, Longford, Louth, Meath, Westmeath","A spell of rain will move up over the country on Thursday morning, turning to sleet and snow with some accumulations expected. 
Possible Impacts:
● Hazardous driving conditions
● Travel disruption",,2; yellow; Moderate,"Cavan, Donegal, Monaghan, Connacht, Longford, Louth, Meath, Westmeath",Cavan;Monaghan;Donegal;Sligo;Roscommon;Leitrim;Mayo;Galway;Longford;Louth;Meath;Westmeath,2; snow-ice,,Yellow,Moderate,Snow-Ice
2.49.0.1.372.0.210214053118.344570,forecasts@met.ie,2021-02-14 05:31:18+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2021-02-13 11:00:01+00:00,2021-02-14 06:00:01+00:00,2021-02-14 16:00:01+00:00,Met Eireann,"Wind warning for Carlow, Kildare, Kilkenny, Laois, Longford, Offaly, Westmeath, Cavan, Monaghan, Roscommon and Tipperary",Very windy with southerly winds reaching mean speeds of 50 to 60km/h and gusts of 80 to 90km/h.,,2; yellow; Moderate,"Carlow, Kildare, Kilkenny, Laois, Longford, Offaly, Westmeath, Cavan, Monaghan, Roscommon and Tipperary",Carlow;Kildare;Kilkenny;Laois;Longford;Offaly;Westmeath;Cavan;Monaghan;Roscommon,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.230616173831.367231,forecasts@met.ie,2023-06-16 17:38:31+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2023-06-16 18:37:57+00:00,2023-06-16 18:37:49+00:00,2023-06-16 20:30:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.210312112352.N_Norm003_Weather,forecasts@met.ie,2021-03-12 11:23:52+00:00,Actual,Alert,Public,en-GB,Met,Yellow Rain,Monitor,Future,Moderate,Likely,2021-03-12 11:23:52+00:00,2021-03-12 15:00:00+00:00,2021-03-13 15:00:00+00:00,Met Éireann,Rainfall warning for Donegal,Heavy rain at times during the period. Potential for surface and river flooding. ,,2; yellow; Moderate,Donegal,Donegal,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.221015160620.027947,forecasts@met.ie,2022-10-15 16:06:20+00:00,Actual,Alert,Public,en-GB,Met,Moderate  warning,None,Expected,Moderate,Likely,2022-10-15 16:54:48+00:00,2022-10-16 13:00:00+00:00,2022-10-17 12:00:00+00:00,Met Eireann, warning for ,,,2; yellow; Moderate,,All,,,Yellow,Moderate,nan
2.49.0.1.372.0.230430133127.N_Norm009_Weather,forecasts@met.ie,2023-04-30 13:31:27+00:00,Actual,Alert,Public,en-GB,Met,Yellow Thunderstorm,Monitor,Immediate,Moderate,Likely,2023-04-30 13:31:27+00:00,2023-04-30 13:31:16+00:00,2023-04-30 16:00:00+00:00,Met Éireann,"Thunderstorm warning for Carlow, Dublin, Kildare, Louth, Meath, Wexford, Wicklow, Cavan, Monaghan",Some thunderstorm activity this afternoon with lightning and heavy downpours locally.,,2; yellow; Moderate,"Carlow, Dublin, Kildare, Louth, Meath, Wexford, Wicklow, Cavan, Monaghan",Carlow;Kildare;Louth;Meath;Wexford;Wicklow;Cavan;Monaghan,3; Thunderstorm,,Yellow,Moderate,Thunderstorm
